,gpuName,G3Dmark,G2Dmark,price,gpuValue,TDP,powerPerformance,testDate,Desktop,"Desktop, Mobile",Mobile,"Mobile, Workstation",Unknown,Workstation
1498,Intel HD 4000,333,187,1592.95,0.21,55.635,6.497099999999993,2012,0,0,0,0,1,0
1499,FirePro V3800,332,188,124.99,2.66,30.915,30.62069999999999,2016,0,0,0,0,1,0
1500,GeForce 8800 GS,332,154,352.63240000000013,1.1814000000000007,105.0,3.16,2009,1,0,0,0,0,0
1501,Radeon R4,332,101,396.99,0.84,35.04,17.501199999999994,2014,0,0,0,0,1,0
1502,Radeon R5 310,332,545,499.0,0.66,22.6,27.320699999999974,2015,0,0,0,0,1,0
1503,Radeon HD 7450M,330,441,250.74180000000015,1.5278000000000003,7.0,47.1,2015,0,0,1,0,0,0
1504,Radeon HD 7500G,330,114,304.1966000000005,1.205100000000001,57.97,6.105199999999994,2012,0,0,0,0,1,0
1505,GeForce GT 625,329,194,241.11490000000023,1.5249999999999997,30.0,10.98,2013,1,0,0,0,0,0
1506,Radeon HD 7600G + HD 7400M Dual,329,147,265.4702000000002,1.3854000000000002,39.9,17.735499999999988,2015,0,0,0,0,1,0
1507,Radeon R5 235,329,176,60.13,5.47,35.0,9.4,2014,1,0,0,0,0,0
1508,Intel UHD 600,328,98,769.2533000000002,0.5818000000000001,34.41,27.553099999999976,2018,0,0,0,0,1,0
1509,GeForce 9700M GTS,326,106,141.8454999999998,2.2438,60.0,5.43,2010,0,0,1,0,0,0
1510,GeForce GT 120 / 9500 GT,325,327,213.5864000000001,1.6284999999999998,56.601000000000006,6.132999999999997,2011,0,0,0,0,1,0
1511,Radeon HD 6530D,325,138,263.08350000000024,1.4010999999999998,100.0,3.25,2012,1,0,0,0,0,0
1512,Radeon E6460,324,225,217.44900000000013,1.6103999999999996,29.199,21.064299999999985,2015,0,0,0,0,1,0
1513,GeForce GT 230,322,80,43.99,7.32,85.76,4.061999999999998,2009,0,0,0,0,1,0
1514,GeForce 240M GT,320,434,665.5158999999995,0.5856000000000001,27.05,38.698299999999975,2019,0,0,0,0,1,0
1515,Radeon HD 7600G,320,99,237.04390000000015,1.4705999999999995,50.34,6.558699999999992,2012,0,0,0,0,1,0
1516,RADEON HD6370D,320,312,200.66640000000015,1.6792000000000005,51.236000000000004,6.6959999999999935,2011,0,0,0,0,1,0
1517,Radeon HD 8280,319,141,208.21289999999996,1.5081999999999993,43.19,12.73,2014,0,0,0,0,1,0
1518,Mobility Radeon HD 560v,318,366,238.71030000000016,1.4895000000000003,51.13,6.736999999999994,2010,0,0,1,0,0,0
1519,Radeon HD 7470,316,177,81.37,3.89,27.0,11.71,2012,1,0,0,0,0,0
1520,Radeon HD 7520G,312,111,199.44749999999996,1.5831999999999997,42.43,8.095499999999992,2012,0,0,0,0,1,0
1521,Radeon HD 7420G,311,121,200.75740000000008,1.5588999999999995,43.19,8.057599999999994,2012,0,0,0,0,1,0
1522,Radeon HD 7520G + 8600/8700M Dual,311,329,155.58979999999985,2.1471,31.353,14.53129999999999,2014,0,0,0,0,1,0
1523,Radeon HD 8370D,311,151,172.68629999999993,1.9374000000000005,43.16,11.063699999999999,2013,0,0,0,0,1,0
1524,Quadro FX 3500M,306,309,99.99,3.06,45.0,6.81,2009,0,0,0,0,0,1
1525,GeForce 605,305,179,136.83,2.23,39.3,8.440699999999998,2012,0,0,0,0,1,0
1526,Radeon R3,304,97,257.2721000000003,1.4239999999999997,39.19,13.417199999999998,2014,0,0,0,0,1,0
1527,GeForce GT 610,303,127,139.99,2.16,29.0,10.44,2012,1,0,0,0,0,0
1528,Radeon R1E,301,179,196.46470000000005,1.7041999999999993,34.9,28.341099999999987,2017,0,0,0,0,1,0
1529,Intel Q965/Q963 Express,300,58,137.72089999999992,2.2853,57.52,5.5607999999999995,2009,0,0,0,0,1,0
1530,Radeon HD 6520G,300,84,121.01799999999999,2.5026999999999986,45.0,6.67,2012,0,0,1,0,0,0
1531,Radeon R5E,300,106,236.3746000000001,1.3769999999999998,42.2,12.1778,2014,0,0,0,0,1,0
1532,GeForce GT 520,297,126,304.0,0.98,29.0,10.25,2011,1,0,0,0,0,0
1533,Intel HD P3000,297,104,252.1912000000002,1.3330000000000004,55.04,5.913699999999997,2012,0,0,0,0,1,0
1534,Intel HD 500,294,81,763.2788000000002,0.5534000000000002,48.07,26.392899999999976,2019,0,0,0,0,1,0
1535,GeForce 9600M GT / GeForce GT 220M,293,291,109.01249999999995,2.6099,58.765,5.507400000000002,2010,0,0,0,0,1,0
1536,GeForce GT 520MX,293,56,152.57569999999996,2.1146999999999996,20.0,14.63,2012,0,0,1,0,0,0
1537,GRID K120Q,293,278,186.57540000000014,1.7225000000000004,51.906000000000006,18.457299999999996,2015,0,0,0,0,0,1
1538,GeForce 610M,292,103,244.58750000000026,1.3281999999999996,83.81,3.578399999999998,2012,0,0,0,0,1,0
1539,Quadro FX 3500,292,106,68.98,4.23,80.0,3.65,2009,0,0,0,0,0,1
1540,Radeon HD 2900 GT,292,344,161.67569999999995,1.8569,150.0,1.95,2012,1,0,0,0,0,0
1541,GeForce 7800 GTX,291,196,71.6,4.06,86.0,3.38,2009,1,0,0,0,0,0
1542,IncrediblE HD 3000,291,18,819.4198000000004,0.5070000000000006,67.7,20.63939999999998,2021,0,0,0,0,1,0
1543,GeForce 7950 Xtreme,288,288,201.43460000000022,1.5476999999999999,41.83599999999999,19.359299999999998,2015,0,0,0,0,1,0
1544,GeForce GT 520M,288,74,29.95,9.62,12.0,24.01,2012,0,0,1,0,0,0
1545,Radeon HD 7450A,288,385,341.38989999999995,1.1295000000000013,31.48,9.628100000000007,2012,0,0,0,0,1,0
1546,GeForce GT 415M,286,221,122.74829999999992,2.4303999999999983,12.0,23.84,2011,0,0,1,0,0,0
1547,NVS 315,286,187,69.99,4.09,19.5,14.68,2014,0,0,0,0,0,1
1548,Mobile Intel HD,285,164,479.98,0.59,45.975,6.682099999999996,2011,0,0,0,0,1,0
1549,Radeon HD 7480D,285,117,268.6329000000003,1.185300000000001,65.0,4.39,2012,1,0,0,0,0,0
1550,Mobility Radeon HD 5165,284,362,395.3866000000001,0.7238000000000012,35.0,8.12,2010,0,0,1,0,0,0
1551,Radeon HD 2600 XT,283,371,159.0,1.78,45.0,6.28,2011,1,0,0,0,0,0
1552,Radeon R5 235X,280,210,111.53179999999989,2.5497999999999985,18.0,15.56,2014,1,0,0,0,0,0
1553,GeForce 9600 GS,279,52,169.50689999999994,1.8547000000000011,52.14,5.511799999999997,2010,1,0,0,0,0,0
1554,Radeon HD 6370M,276,401,513.0733999999998,0.5322000000000008,11.0,25.08,2010,0,0,1,0,0,0
1555,Radeon HD 8400E,273,123,256.37980000000016,1.1966000000000008,44.67100000000001,10.995600000000001,2013,0,0,0,0,1,0
1556,GeForce 9650M GS,270,328,359.1885000000002,1.0207000000000008,29.0,9.32,2009,0,0,1,0,0,0
1557,GeForce Go 7900 GTX,270,264,112.99389999999995,2.4267000000000003,45.0,6.01,2009,0,0,1,0,0,0
1558,Radeon HD 8280G,270,130,203.23780000000005,1.3587999999999996,39.81,10.461500000000008,2013,0,0,0,0,1,0
1559,Qualcomm Adreno 630 GPU,268,89,767.5055000000003,0.5419000000000002,37.48,29.77219999999998,2019,0,0,0,0,1,0
1560,Radeon HD 5470,268,298,153.95039999999995,1.9367999999999994,32.385,13.952199999999987,2014,0,0,0,0,1,0
1561,Radeon HD 7400G,267,109,221.95700000000008,1.2919,53.141000000000005,5.313099999999995,2012,0,0,0,0,1,0
1562,GeForce GT 120M,266,272,119.96239999999996,2.3897000000000004,23.0,11.55,2009,0,0,1,0,0,0
1563,Mobility Radeon HD 550v,266,398,552.9726999999993,0.48070000000000035,32.4,8.883400000000005,2010,0,0,1,0,0,0
1564,Radeon HD 8490,265,173,89.99,2.94,35.0,7.57,2014,1,0,0,0,0,0
1565,GeForce Go 7950 GTX,264,283,136.66989999999996,2.080499999999999,45.0,5.86,2009,0,0,1,0,0,0
1566,Radeon HD 6450A,260,208,103.13279999999995,2.477199999999998,23.574,11.631000000000002,2012,0,0,0,0,1,0
1567,Radeon HD 6480G,259,78,250.64160000000027,1.2690000000000006,45.0,5.76,2012,0,0,1,0,0,0
1568,GeForce 7900 GT,258,160,199.0,1.3,69.09,3.9348000000000014,2009,1,0,0,0,0,0
1569,Radeon HD 8400,258,78,250.16560000000027,1.2832000000000006,42.84,11.142500000000002,2013,0,0,0,0,1,0
1570,GeForce 510,257,199,69.99,3.67,25.0,10.27,2011,1,0,0,0,0,0
1571,Intel HD 3000,257,47,945.0,0.27,48.535,5.473999999999997,2012,0,0,0,0,1,0
